Year,Female,Male,Total,Countries
1992,95872,100862,196734,Netherlands
1993,95630,100118,195748,Netherlands
1994,95350,100261,195611,Netherlands
1995,92953,97560,190513,Netherlands
1996,91945,97576,189521,Netherlands
1997,94189,98254,192443,Netherlands
1998,97271,102137,199408,Netherlands
1999,97549,102896,200445,Netherlands
2000,100982,105637,206619,Netherlands
2001,98797,103806,202603,Netherlands
2002,98349,103734,202083,Netherlands
2003,97427,102870,200297,Netherlands
2004,94777,99230,194007,Netherlands
2005,91572,96338,187910,Netherlands
2006,90078,94979,185057,Netherlands
2007,88776,92560,181336,Netherlands
2008,89796,94838,184634,Netherlands
2009,90296,94619,184915,Netherlands
2010,90268,94129,184397,Netherlands
2011,87707,92353,180060,Netherlands
2012,85779,90180,175959,Netherlands
2013,83384,87957,171341,Netherlands
2014,85671,89510,175181,Netherlands
2015,83083,87427,170510,Netherlands
2016,83933,88587,172520,Netherlands
2017,82677,87159,169836,Netherlands
2018,82321,86204,168525,Netherlands
2019,82787,86893,169680,Netherlands
2020,82184,86497,168681,Netherlands
1948,23943,25206,49149,New Zealand
1949,23662,25243,48905,New Zealand
1950,24131,25283,49414,New Zealand
1951,24075,25814,49889,New Zealand
1952,25258,26670,51928,New Zealand
1953,25237,26706,51943,New Zealand
1954,26224,27907,54131,New Zealand
1955,27028,28648,55676,New Zealand
1956,27446,29147,56593,New Zealand
1957,28609,29875,58484,New Zealand
1958,29492,31143,60635,New Zealand
1959,30127,31742,61869,New Zealand
1960,30610,32240,62850,New Zealand
1961,31955,33521,65476,New Zealand
1962,31771,33356,65127,New Zealand
1963,31388,33287,64675,New Zealand
1964,30290,32169,62459,New Zealand
1965,29073,31105,60178,New Zealand
1966,29309,30879,60188,New Zealand
1967,30072,31097,61169,New Zealand
1968,30329,31955,62284,New Zealand
1969,30536,32028,62564,New Zealand
1970,30283,31924,62207,New Zealand
1971,31464,32996,64460,New Zealand
1972,30927,32288,63215,New Zealand
1973,29630,31097,60727,New Zealand
1974,28825,30511,59336,New Zealand
1975,27765,28874,56639,New Zealand
1976,26561,28544,55105,New Zealand
1977,26391,27788,54179,New Zealand
1978,24967,26062,51029,New Zealand
1979,25609,26670,52279,New Zealand
1980,24604,25938,50542,New Zealand
1981,24668,26126,50794,New Zealand
1982,24240,25698,49938,New Zealand
1983,24598,25876,50474,New Zealand
1984,25141,26495,51636,New Zealand
1985,25241,26557,51798,New Zealand
1986,25925,26898,52823,New Zealand
1987,26660,28594,55254,New Zealand
1988,28034,29512,57546,New Zealand
1989,28433,29658,58091,New Zealand
1990,29445,30708,60153,New Zealand
1991,29085,30826,59911,New Zealand
1992,28440,30726,59166,New Zealand
1993,28469,30313,58782,New Zealand
1994,27913,29408,57321,New Zealand
1995,27793,29878,57671,New Zealand
1996,27821,29459,57280,New Zealand
1997,28172,29432,57604,New Zealand
1998,26766,28583,55349,New Zealand
1999,27868,29185,57053,New Zealand
2000,27448,29157,56605,New Zealand
2001,27466,28333,55799,New Zealand
2002,26444,27577,54021,New Zealand
2003,27314,28820,56134,New Zealand
2004,28329,29744,58073,New Zealand
2005,28199,29546,57745,New Zealand
2006,28953,30240,59193,New Zealand
2007,31031,33013,64044,New Zealand
2008,31241,33102,64343,New Zealand
2009,30431,32112,62543,New Zealand
2010,30993,32904,63897,New Zealand
2011,29927,31476,61403,New Zealand
2012,29935,31243,61178,New Zealand
2013,28576,30141,58717,New Zealand
2014,27648,29595,57243,New Zealand
2015,29682,31356,61038,New Zealand
2016,28908,30519,59427,New Zealand
2017,29022,30588,59610,New Zealand
2018,28308,29709,58017,New Zealand
2019,29070,30567,59637,New Zealand
2020,28041,29532,57573,New Zealand
2021,28632,30027,58659,New Zealand
1846,20156,21372,41528,Norway
1847,20199,21411,41610,Norway
1848,19686,20868,40554,Norway
1849,21424,22709,44133,Norway
1850,20914,22168,43082,Norway
1851,21796,23103,44899,Norway
1852,21466,22753,44219,Norway
1853,22349,23690,46039,Norway
1854,24221,25675,49896,Norway
1855,23999,25439,49438,Norway
1856,23452,24859,48311,Norway
1857,24368,25830,50198,Norway
1858,25083,26588,51671,Norway
1859,26483,28073,54556,Norway
1860,25764,27310,53074,Norway
1861,24051,25495,49546,Norway
1862,25335,26855,52190,Norway
1863,26167,27738,53905,Norway
1864,25805,27353,53158,Norway
1865,26184,27755,53939,Norway
1866,26294,27872,54166,Norway
1867,25052,26555,51607,Norway
1868,24695,26177,50872,Norway
1869,24265,25720,49985,Norway
1870,24572,26046,50618,Norway
1871,24836,26327,51163,Norway
1872,25530,27062,52592,Norway
1873,25606,27143,52749,Norway
1874,26825,28434,55259,Norway
1875,27600,29256,56856,Norway
1876,28009,29690,57699,Norway
1877,28503,30214,58717,Norway
1878,28673,30393,59066,Norway
1879,29663,31443,61106,Norway
1880,28794,30521,59315,Norway
1881,28048,29730,57778,Norway
1882,28525,30237,58762,Norway
1883,28854,30586,59440,Norway
1884,29621,31398,61019,Norway
1885,29724,31507,61231,Norway
1886,29352,31114,60466,Norway
1887,30013,31814,61827,Norway
1888,29151,30901,60052,Norway
1889,28549,30262,58811,Norway
1890,29489,31258,60747,Norway
1891,30049,31852,61901,Norway
1892,29094,30839,59933,Norway
1893,30011,31812,61823,Norway
1894,29558,31331,60889,Norway
1895,30737,32581,63318,Norway
1896,30706,32548,63254,Norway
1897,31230,33103,64333,Norway
1898,32003,33923,65926,Norway
1899,32023,33945,65968,Norway
1900,32150,34079,66229,Norway
1901,32671,34632,67303,Norway
1902,32279,34215,66494,Norway
1903,31782,33688,65470,Norway
1904,31137,33006,64143,Norway
1905,30389,32212,62601,Norway
1906,30141,31950,62091,Norway
1907,29759,31543,61302,Norway
1908,29945,31741,61686,Norway
1909,30740,32584,63324,Norway
1910,29848,31638,61486,Norway
1911,29965,31762,61727,Norway
1912,29810,31599,61409,Norway
1913,29754,31540,61294,Norway
1914,30151,31960,62111,Norway
1915,28629,30346,58975,Norway
1916,29758,31362,61120,Norway
1917,31147,32822,63969,Norway
1918,30908,32560,63468,Norway
1919,28538,30948,59486,Norway
1920,33700,35626,69326,Norway
1921,31572,33038,64610,Norway
1922,30820,32088,62908,Norway
1923,29960,31771,61731,Norway
1924,28007,30014,58021,Norway
1925,26339,27727,54066,Norway
1926,26348,27815,54163,Norway
1927,24430,25745,50175,Norway
1928,24368,25513,49881,Norway
1929,23373,24999,48372,Norway
1930,23206,24638,47844,Norway
1931,22419,23570,45989,Norway
1932,22062,23389,45451,Norway
1933,20280,21834,42114,Norway
1934,20244,21589,41833,Norway
1935,20176,21145,41321,Norway
1936,20532,21708,42240,Norway
1937,21245,22563,43808,Norway
1938,22009,23310,45319,Norway
1939,22771,23832,46603,Norway
1940,23195,24748,47943,Norway
1941,22251,23522,45773,Norway
1942,25808,27417,53225,Norway
1943,27623,29658,57281,Norway
1944,29923,32318,62241,Norway
1945,29925,31889,61814,Norway
1946,34207,36520,70727,Norway
1947,32789,34836,67625,Norway
1948,31521,34097,65618,Norway
1949,30492,32560,63052,Norway
1950,30203,32207,62410,Norway
1951,29176,31395,60571,Norway
1952,30222,32321,62543,Norway
1953,30672,32313,62985,Norway
1954,30632,32107,62739,Norway
1955,30777,32775,63552,Norway
1956,31302,32869,64171,Norway
1957,30711,32352,63063,Norway
1958,30645,32340,62985,Norway
1959,30469,32536,63005,Norway
1960,30106,31774,61880,Norway
1961,30225,32330,62555,Norway
1962,30243,32011,62254,Norway
1963,30922,32368,63290,Norway
1964,31601,33969,65570,Norway
1965,31993,34284,66277,Norway
1966,32383,34678,67061,Norway
1967,32421,34358,66779,Norway
1968,32664,34686,67350,Norway
1969,32900,34846,67746,Norway
1970,31280,33271,64551,Norway
1971,31962,33588,65550,Norway
1972,31266,32994,64260,Norway
1973,29618,31590,61208,Norway
1974,29190,30413,59603,Norway
1975,27496,28849,56345,Norway
1976,26066,27408,53474,Norway
1977,24705,26172,50877,Norway
1978,25092,26657,51749,Norway
1979,25071,26509,51580,Norway
1980,24691,26348,51039,Norway
1981,24848,25860,50708,Norway
1982,24791,26454,51245,Norway
1983,24168,25769,49937,Norway
1984,24511,25763,50274,Norway
1985,24829,26305,51134,Norway
1986,25458,27056,52514,Norway
1987,26525,27502,54027,Norway
1988,28053,29473,57526,Norway
1989,28842,30461,59303,Norway
1990,29663,31276,60939,Norway
1991,29503,31305,60808,Norway
1992,28955,31154,60109,Norway
1993,29112,30566,59678,Norway
1994,29156,30936,60092,Norway
1995,29286,31006,60292,Norway
1996,29437,31490,60927,Norway
1997,29077,30724,59801,Norway
1998,28482,29870,58352,Norway
1999,28830,30468,59298,Norway
2000,28798,30436,59234,Norway
2001,27655,29041,56696,Norway
2002,27109,28325,55434,Norway
2003,27444,29014,56458,Norway
2004,27759,29192,56951,Norway
2005,27703,29053,56756,Norway
2006,28556,29989,58545,Norway
2007,28455,30004,58459,Norway
2008,29361,31136,60497,Norway
2009,29974,31833,61807,Norway
2010,29981,31461,61442,Norway
2011,29214,31006,60220,Norway
2012,29322,30933,60255,Norway
2013,28857,30138,58995,Norway
2014,28714,30370,59084,Norway
2015,28689,30369,59058,Norway
2016,28504,30386,58890,Norway
2017,27460,29173,56633,Norway
2018,26690,28430,55120,Norway
2019,26453,28042,54495,Norway
2020,25916,27063,52979,Norway
2021,27376,28684,56060,Norway
2022,25035,26445,51480,Norway
1958,365317,390142,755459,Poland
1959,347422,375506,722928,Poland
1960,322672,346813,669485,Poland
1961,302415,325209,627624,Poland
1962,288503,311002,599505,Poland
1963,284629,304720,589349,Poland
1964,272374,291547,563921,Poland
1965,264886,282511,547397,Poland
1966,257080,274236,531316,Poland
1967,252831,268986,521817,Poland
1968,254465,271286,525751,Poland
1969,257981,274847,532828,Poland
1970,265004,282815,547819,Poland
1971,273661,290720,564381,Poland
1972,279721,298172,577893,Poland
1973,291932,308930,600862,Poland
1974,300557,323093,623650,Poland
1975,312287,334094,646381,Poland
1976,325717,347147,672864,Poland
1977,321790,343431,665221,Poland
1978,324568,344744,669312,Poland
1979,334826,356403,691229,Poland
1980,338642,357117,695759,Poland
1981,331182,350475,681657,Poland
1982,342282,363074,705356,Poland
1983,351690,371915,723605,Poland
1984,340432,361288,701720,Poland
1985,330486,349605,680091,Poland
1986,309769,327444,637213,Poland
1987,294753,313037,607790,Poland
1988,286925,303013,589938,Poland
1989,273439,290992,564431,Poland
1990,266056,281664,547720,Poland
1991,266008,281711,547719,Poland
1992,250950,264264,515214,Poland
1993,240376,253934,494310,Poland
1994,234901,246384,481285,Poland
1995,210449,222660,433109,Poland
1996,207518,220685,428203,Poland
1997,200293,212342,412635,Poland
1998,191674,203945,395619,Poland
1999,185591,196411,382002,Poland
2000,183524,194824,378348,Poland
2001,178684,189521,368205,Poland
2002,171629,182136,353765,Poland
2003,170438,180634,351072,Poland
2004,172709,183422,356131,Poland
2005,176998,187385,364383,Poland
2006,181726,192518,374244,Poland
2007,188535,199338,387873,Poland
2008,201553,212946,414499,Poland
2009,202681,214908,417589,Poland
2010,198872,214428,413300,Poland
2011,188495,199921,388416,Poland
2012,187561,198696,386257,Poland
2013,179659,189917,369576,Poland
2014,182069,193091,375160,Poland
2015,179631,189677,369308,Poland
2016,186036,196221,382257,Poland
2017,195572,206410,401982,Poland
2018,188987,200468,389455,Poland
2019,182269,192685,374954,Poland
1886,75666,80149,155815,Portugal
1887,78423,87491,165914,Portugal
1888,78807,85174,163981,Portugal
1889,81580,86705,168285,Portugal
1890,80155,84472,164627,Portugal
1891,78176,83858,162034,Portugal
1892,77004,82179,159183,Portugal
1893,79485,84654,164139,Portugal
1894,74578,79393,153971,Portugal
1895,75618,80787,156405,Portugal
1896,76230,81316,157546,Portugal
1897,78445,82524,160969,Portugal
1898,78787,82137,160924,Portugal
1899,77850,82719,160569,Portugal
1900,79971,85274,165245,Portugal
1901,82484,88289,170773,Portugal
1902,85061,90968,176029,Portugal
1903,88457,94681,183138,Portugal
1904,85087,91639,176726,Portugal
1905,85848,93898,179746,Portugal
1906,88251,94669,182920,Portugal
1907,84522,91895,176417,Portugal
1908,84718,90550,175268,Portugal
1909,84893,89860,174753,Portugal
1910,90108,96845,186953,Portugal
1911,112377,117656,230033,Portugal
1912,101658,106212,207870,Portugal
1913,94648,99258,193906,Portugal
1914,91515,96964,188479,Portugal
1915,95044,100181,195225,Portugal
1916,93961,98819,192780,Portugal
1917,91605,96786,188391,Portugal
1918,86624,92063,178687,Portugal
1919,80830,85332,166162,Portugal
1920,98924,103984,202908,Portugal
1921,96015,101007,197022,Portugal
1922,98664,105063,203727,Portugal
1923,100797,106375,207172,Portugal
1924,101090,106350,207440,Portugal
1925,101633,106801,208434,Portugal
1926,104584,110049,214633,Portugal
1927,96895,102504,199399,Portugal
1928,103155,108159,211314,Portugal
1929,97659,103215,200874,Portugal
1930,98601,103928,202529,Portugal
1931,98970,105150,204120,Portugal
1932,100939,107123,208062,Portugal
1933,99375,104940,204315,Portugal
1934,98399,104759,203158,Portugal
1935,99172,104771,203943,Portugal
1936,100038,105577,205615,Portugal
1937,96490,101637,198127,Portugal
1938,96499,102968,199467,Portugal
1939,96659,102229,198888,Portugal
1940,90745,97147,187892,Portugal
1941,89535,94801,184336,Portugal
1942,90853,96650,187503,Portugal
1943,96016,102085,198101,Portugal
1944,96280,105093,201373,Portugal
1945,100649,108482,209131,Portugal
1946,98697,107128,205825,Portugal
1947,96418,104070,200488,Portugal
1948,106210,114771,220981,Portugal
1949,101794,110466,212260,Portugal
1950,99138,106025,205163,Portugal
1951,100114,107756,207870,Portugal
1952,101633,109580,211213,Portugal
1953,97744,104391,202135,Portugal
1954,95435,102101,197536,Portugal
1955,101913,107877,209790,Portugal
1956,98750,103917,202667,Portugal
1957,102639,108855,211494,Portugal
1958,103371,109096,212467,Portugal
1959,103325,109737,213062,Portugal
1960,103410,110485,213895,Portugal
1961,105647,111869,217516,Portugal
1962,106358,113842,220200,Portugal
1963,102695,109457,212152,Portugal
1964,104702,112434,217136,Portugal
1965,101725,108574,210299,Portugal
1966,99716,107224,206940,Portugal
1967,98172,103889,202061,Portugal
1968,93837,101125,194962,Portugal
1969,91685,98054,189739,Portugal
1970,83645,89246,172891,Portugal
1971,91771,97271,189042,Portugal
1972,84363,90322,174685,Portugal
1973,83627,88697,172324,Portugal
1974,83917,88062,171979,Portugal
1975,86539,93089,179628,Portugal
1976,90130,96582,186712,Portugal
1977,87024,94040,181064,Portugal
1978,80343,87124,167467,Portugal
1979,77585,82726,160311,Portugal
1980,76710,81642,158352,Portugal
1981,73762,78340,152102,Portugal
1982,73168,77861,151029,Portugal
1983,69516,74811,144327,Portugal
1984,68914,73891,142805,Portugal
1985,63134,67358,130492,Portugal
1986,61321,65427,126748,Portugal
1987,59646,63572,123218,Portugal
1988,59101,63020,122121,Portugal
1989,57665,60895,118560,Portugal
1990,56430,59953,116383,Portugal
1991,56495,59920,116415,Portugal
1992,56127,58891,115018,Portugal
1993,55602,58428,114030,Portugal
1994,52812,56475,109287,Portugal
1995,51473,55711,107184,Portugal
1996,52989,57374,110363,Portugal
1997,54945,58102,113047,Portugal
1998,54921,58589,113510,Portugal
1999,56246,59792,116038,Portugal
2000,57809,62262,120071,Portugal
2001,54428,58397,112825,Portugal
2002,55110,59346,114456,Portugal
2003,54343,58246,112589,Portugal
2004,53114,56242,109356,Portugal
2005,52787,56612,109399,Portugal
2006,51392,54057,105449,Portugal
2007,49847,52720,102567,Portugal
2008,50618,53976,104594,Portugal
2009,48618,50873,99491,Portugal
2010,49846,51535,101381,Portugal
2011,47168,49689,96856,Portugal
2012,43680,46161,89841,Portugal
2013,40568,42220,82787,Portugal
2014,39940,42427,82367,Portugal
2015,41815,43685,85500,Portugal
2016,42337,44789,87126,Portugal
2017,42082,44072,86154,Portugal
2018,42711,44309,87020,Portugal
2019,42040,44539,86579,Portugal
2020,41079,43451,84530,Portugal
2021,38820,40762,79582,Portugal
1975,388506,437323,825829,Republic of Korea
1976,349682,392829,742511,Republic of Korea
1977,385626,404437,790063,Republic of Korea
1978,335091,376719,711810,Republic of Korea
1979,423679,450134,873813,Republic of Korea
1980,433066,459050,892116,Republic of Korea
1981,418754,448655,867409,Republic of Korea
1982,410235,438077,848312,Republic of Korea
1983,370961,398194,769155,Republic of Korea
1984,324018,350775,674793,Republic of Korea
1985,312983,342506,655489,Republic of Korea
1986,300431,335588,636019,Republic of Korea
1987,298793,325038,623831,Republic of Korea
1988,296889,336203,633092,Republic of Korea
1989,301956,337475,639431,Republic of Korea
1990,300121,349617,649738,Republic of Korea
1991,333999,375276,709275,Republic of Korea
1992,342105,388573,730678,Republic of Korea
1993,332461,383365,715826,Republic of Korea
1994,335105,386080,721185,Republic of Korea
1995,335416,379604,715020,Republic of Korea
1996,326793,364433,691226,Republic of Korea
1997,324465,350929,675394,Republic of Korea
1998,305447,336147,641594,Republic of Korea
1999,296259,324409,620668,Republic of Korea
2000,304656,335433,640089,Republic of Korea
2001,267945,291989,559934,Republic of Korea
2002,236683,260228,496911,Republic of Korea
2003,237309,257727,495036,Republic of Korea
2004,229123,247835,476958,Republic of Korea
2005,211115,227592,438707,Republic of Korea
2006,217649,234110,451759,Republic of Korea
2007,240950,255872,496822,Republic of Korea
2008,225773,240119,465892,Republic of Korea
2009,215498,229351,444849,Republic of Korea
2010,227270,242901,470171,Republic of Korea
2011,229144,242121,471265,Republic of Korea
2012,235592,248958,484550,Republic of Korea
2013,212572,223883,436455,Republic of Korea
2014,212079,223356,435435,Republic of Korea
2015,213514,224906,438420,Republic of Korea
2016,198179,208064,406243,Republic of Korea
2017,173463,184308,357771,Republic of Korea
2018,159136,167686,326822,Republic of Korea
2019,147260,155416,302676,Republic of Korea
2020,132975,139362,272337,Republic of Korea
1959,1363168,1433060,2796228,Russia
1960,1355128,1427225,2782353,Russia
1961,1296435,1365700,2662135,Russia
1962,1210078,1272461,2482539,Russia
1963,1133767,1197738,2331505,Russia
1964,1034375,1087619,2121994,Russia
1965,968960,1021560,1990520,Russia
1966,955251,1002152,1957403,Russia
1967,903355,947686,1851041,Russia
1968,886270,930239,1816509,Russia
1969,902327,945265,1847592,Russia
1970,929321,974392,1903713,Russia
1971,963300,1011337,1974637,Russia
1972,983216,1031422,2014638,Russia
1973,972252,1022369,1994621,Russia
1974,1015955,1063857,2079812,Russia
1975,1026246,1079901,2106147,Russia
1976,1046300,1100411,2146711,Russia
1977,1052995,1103729,2156724,Russia
1978,1063610,1115420,2179030,Russia
1979,1063605,1114937,2178542,Russia
1980,1076113,1126666,2202779,Russia
1981,1091369,1145239,2236608,Russia
1982,1135792,1192252,2328044,Russia
1983,1209502,1268820,2478322,Russia
1984,1174854,1234760,2409614,Russia
1985,1157825,1217322,2375147,Russia
1986,1212702,1273213,2485915,Russia
1987,1216549,1283425,2499974,Russia
1988,1143587,1204907,2348494,Russia
1989,1049957,1110602,2160559,Russia
1990,967610,1021248,1988858,Russia
1991,871307,923319,1794626,Russia
1992,770887,816757,1587644,Russia
1993,670294,708689,1378983,Russia
1994,683341,724818,1408159,Russia
1995,663615,700191,1363806,Russia
1996,633208,671430,1304638,Russia
1997,611748,648195,1259943,Russia
1998,622450,660842,1283292,Russia
1999,588540,626149,1214689,Russia
2000,613654,653146,1266800,Russia
2001,635854,675750,1311604,Russia
2002,677456,719511,1396967,Russia
2003,716367,760934,1477301,Russia
2004,729504,772973,1502477,Russia
2005,707822,749554,1457376,Russia
2006,718806,760831,1479637,Russia
2007,781350,828772,1610122,Russia
2008,833404,880543,1713947,Russia
2009,856307,905380,1761687,Russia
2010,869309,919639,1788948,Russia
2011,872825,923804,1796629,Russia
2012,923557,978527,1902084,Russia
2013,921519,974303,1895822,Russia
2014,943004,999679,1942683,Russia
1950,48022,51699,99721,Slovakia
1951,48760,51903,100663,Slovakia
1952,48653,52171,100824,Slovakia
1953,47843,51281,99124,Slovakia
1954,47371,50939,98310,Slovakia
1955,48156,51149,99305,Slovakia
1956,48332,51135,99467,Slovakia
1957,46830,50481,97311,Slovakia
1958,45378,47894,93272,Slovakia
1959,42629,45362,87991,Slovakia
1960,42828,45584,88412,Slovakia
1961,42606,44753,87359,Slovakia
1962,40725,43174,83899,Slovakia
1963,42310,44848,87158,Slovakia
1964,42319,44559,86878,Slovakia
1965,40226,44031,84257,Slovakia
1966,39789,41664,81453,Slovakia
1967,37654,39883,77537,Slovakia
1968,37055,39315,76370,Slovakia
1969,38879,40890,79769,Slovakia
1970,39223,41443,80666,Slovakia
1971,40375,42687,83062,Slovakia
1972,42876,44918,87794,Slovakia
1973,45566,47387,92953,Slovakia
1974,47565,50020,97585,Slovakia
1975,47858,49791,97649,Slovakia
1976,48398,51416,99814,Slovakia
1977,48211,51322,99533,Slovakia
1978,49008,51185,100193,Slovakia
1979,49153,51087,100240,Slovakia
1980,46258,48842,95100,Slovakia
1981,45659,47631,93290,Slovakia
1982,45073,47545,92618,Slovakia
1983,44835,47218,92053,Slovakia
1984,44397,46446,90843,Slovakia
1985,43966,46189,90155,Slovakia
1986,42471,44667,87138,Slovakia
1987,41163,42843,84006,Slovakia
1988,40679,42563,83242,Slovakia
1989,39140,40976,80116,Slovakia
1990,38859,41130,79989,Slovakia
1991,38328,40241,78569,Slovakia
1992,36387,38253,74640,Slovakia
1993,35504,37752,73256,Slovakia
1994,32495,33875,66370,Slovakia
1995,30012,31415,61427,Slovakia
1996,29078,31045,60123,Slovakia
1997,28743,30368,59111,Slovakia
1998,28039,29543,57582,Slovakia
1999,27513,28710,56223,Slovakia
2000,26927,28224,55151,Slovakia
2001,24697,26439,51136,Slovakia
2002,24826,26015,50841,Slovakia
2003,25170,26543,51713,Slovakia
2004,26101,27646,53747,Slovakia
2005,26451,27979,54430,Slovakia
2006,26222,27682,53904,Slovakia
2007,26521,27903,54424,Slovakia
2008,28006,29354,57360,Slovakia
2009,29654,31563,61217,Slovakia
2010,29866,30544,60410,Slovakia
2011,29699,31114,60813,Slovakia
2012,26864,28671,55535,Slovakia
2013,26755,28068,54823,Slovakia
2014,26933,28100,55033,Slovakia
2015,26934,28668,55602,Slovakia
2016,28078,29479,57557,Slovakia
2017,28196,29773,57969,Slovakia
2018,27965,29674,57639,Slovakia
2019,27911,29143,57054,Slovakia
1983,13270,13930,27200,Slovenia
1984,12835,13439,26274,Slovenia
1985,12586,13347,25933,Slovenia
1986,12495,13075,25570,Slovenia
1987,12528,13064,25592,Slovenia
1988,12210,12999,25209,Slovenia
1989,11346,12101,23447,Slovenia
1990,10914,11454,22368,Slovenia
1991,10467,11116,21583,Slovenia
1992,9649,10333,19982,Slovenia
1993,9605,10188,19793,Slovenia
1994,9564,9899,19463,Slovenia
1995,9239,9741,18980,Slovenia
1996,9078,9710,18788,Slovenia
1997,8842,9323,18165,Slovenia
1998,8600,9256,17856,Slovenia
1999,8484,9049,17533,Slovenia
2000,8812,9368,18180,Slovenia
2001,8413,9064,17477,Slovenia
2002,8476,9025,17501,Slovenia
2003,8391,8930,17321,Slovenia
2004,8860,9101,17961,Slovenia
2005,8802,9355,18157,Slovenia
2006,9170,9762,18932,Slovenia
2007,9671,10152,19823,Slovenia
2008,10691,11126,21817,Slovenia
2009,10547,11309,21856,Slovenia
2010,10839,11504,22343,Slovenia
2011,10699,11248,21947,Slovenia
2012,10619,11319,21938,Slovenia
2013,10307,10804,21111,Slovenia
2014,10237,10928,21165,Slovenia
2015,10035,10606,20641,Slovenia
2016,9979,10366,20345,Slovenia
2017,9758,10483,20241,Slovenia
2018,9428,10157,19585,Slovenia
2019,9351,9977,19328,Slovenia
1908,313288,344720,658008,Spain
1909,310009,340489,650498,Spain
1910,308121,338854,646975,Spain
1911,299984,328459,628443,Spain
1912,303527,334333,637860,Spain
1913,294979,322871,617850,Spain
1914,290488,317719,608207,Spain
1915,299857,331605,631462,Spain
1916,284855,314156,599011,Spain
1917,287271,314868,602139,Spain
1918,292334,320403,612737,Spain
1919,279347,306616,585963,Spain
1920,297014,326325,623339,Spain
1921,309323,339569,648892,Spain
1922,313425,342668,656093,Spain
1923,316899,345677,662576,Spain
1924,312852,340233,653085,Spain
1925,309523,335218,644741,Spain
1926,318141,345260,663401,Spain
1927,306623,329405,636028,Spain
1928,320549,345691,666240,Spain
1929,315442,338226,653668,Spain
1930,320556,345321,665877,Spain
1931,315720,338058,653778,Spain
1932,325995,349115,675110,Spain
1933,325664,346580,672244,Spain
1934,311904,329984,641888,Spain
1935,309237,327488,636725,Spain
1936,300063,317157,617220,Spain
1937,276353,292624,568977,Spain
1938,245966,262760,508726,Spain
1939,203987,218358,422345,Spain
1940,305131,326154,631285,Spain
1941,247238,263916,511154,Spain
1942,256446,274399,530845,Spain
1943,294184,312787,606971,Spain
1944,292599,309492,602091,Spain
1945,302250,319308,621558,Spain
1946,285366,300015,585381,Spain
1947,286391,302341,588732,Spain
1948,312386,329655,642041,Spain
1949,293110,308649,601759,Spain
1950,275078,290300,565378,Spain
1951,275692,291782,567474,Spain
1952,287120,305899,593019,Spain
1953,286442,302746,589188,Spain
1954,281954,295932,577886,Spain
1955,291426,307544,598970,Spain
1956,296437,311684,608121,Spain
1957,315196,331588,646784,Spain
1958,318705,334511,653216,Spain
1959,318369,336105,654474,Spain
1960,321660,341715,663375,Spain
1961,317749,336867,654616,Spain
1962,320003,338813,658816,Spain
1963,326221,345299,671520,Spain
1964,339393,358304,697697,Spain
1965,329334,347027,676361,Spain
1966,325561,344358,669919,Spain
1967,330810,349315,680125,Spain
1968,324585,342726,667311,Spain
1969,323855,342713,666568,Spain
1970,322266,341401,663667,Spain
1971,326241,345851,672092,Spain
1972,326442,345963,672405,Spain
1973,326888,346075,672963,Spain
1974,334984,353727,688711,Spain
1975,322614,345982,668596,Spain
1976,327848,348870,676718,Spain
1977,316858,338667,655525,Spain
1978,306712,329371,636083,Spain
1979,290832,310649,601481,Spain
1980,274628,296018,570646,Spain
1981,254640,277961,532601,Spain
1982,246885,268447,515332,Spain
1983,233522,251324,484846,Spain
1984,227005,245815,472820,Spain
1985,219881,236056,455937,Spain
1986,211345,226958,438303,Spain
1987,205312,221087,426399,Spain
1988,201978,216459,418437,Spain
1989,197021,211003,408024,Spain
1990,193769,207304,401073,Spain
1991,190937,204715,395652,Spain
1992,191985,204685,396670,Spain
1993,186344,199374,385718,Spain
1994,178813,190764,369577,Spain
1995,176068,187399,363467,Spain
1996,175580,186367,361947,Spain
1997,178585,189776,368361,Spain
1998,175825,188602,364427,Spain
1999,183966,195248,379214,Spain
2000,191557,205069,396626,Spain
2001,197087,208226,405313,Spain
2002,202310,215378,417688,Spain
2003,213622,226909,440531,Spain
2004,219018,234154,453172,Spain
2005,225424,239387,464811,Spain
2006,232980,248315,481295,Spain
2007,237975,253163,491138,Spain
2008,250823,267680,518503,Spain
2009,238446,255271,493717,Spain
2010,235207,250045,485252,Spain
2011,227997,242556,470553,Spain
2012,219660,233688,453348,Spain
2013,206065,218375,424440,Spain
2014,206042,220034,426076,Spain
2015,202929,215503,418432,Spain
2016,198643,210091,408734,Spain
2017,189823,201442,391265,Spain
2018,180243,190584,370827,Spain
2019,174229,184518,358747,Spain
2020,166196,174568,340764,Spain
1749,29382,30101,59483,Sweden
1750,31692,32819,64511,Sweden
1751,34028,35263,69291,Sweden
1752,31795,33178,64973,Sweden
1753,32248,33759,66007,Sweden
1754,33757,35002,68759,Sweden
1755,34198,35810,70008,Sweden
1756,33388,34599,67987,Sweden
1757,29967,31708,61675,Sweden
1758,30845,32417,63262,Sweden
1759,31049,32816,63865,Sweden
1760,33691,34693,68384,Sweden
1761,32819,34505,67324,Sweden
1762,33378,34890,68268,Sweden
1763,33308,34923,68231,Sweden
1764,33136,34852,67988,Sweden
1765,32060,33812,65872,Sweden
1766,32859,34202,67061,Sweden
1767,34608,36136,70744,Sweden
